category_id,product_type,food_drink_filter,category_filter,category_type_filter,website,product_name,brand_name,description,bar_code,weight,price_mrp,price_post_discount,user_email,image,ingredient_list,fruit_veg,nutritional,energy,carbohydrate,fibre,protein,total_fat,saturate,monosaturated_fat,polyunsaturated_fat,trans_fat,fatty_acid,vit_a,vit_c,vit_d,vit_b6,vit_b12,vit_b9,calcium,iron,magnesium,zinc,iodine,cholestrol,sodium,fat,total_sugar,mono_unsaturated_fat,data_check,veg_and_nonveg,gluteen_free,added_sugar,artificial_preservative,organic,vegan_product,egg,fish,shellfish,tree_nuts,peanuts,wheat,soyabean
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,CCDS Tylose Powder,CCDS,,B07CVKW4R4,250 Grams,325,298,,https://images-na.ssl-images-amazon.com/images/I/41IxIsAzA6L.jpg,,,Per 100g,250,62,,0,0,0,,,,,,,,,,,,,,,,,9.4,,0,,Green,VEG,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,M&M's Milk Chocolate Candies,M&M's,,B07MVRLSB5,0.18 Kilograms,200,,,https://m.media-amazon.com/images/I/61mS9wDeLnL.jpg,,,Per 100g,480,70.7,3.3,5,19,11.7,,,,,,,,,,,,,,,,,0.05,,67.3,,Green,VEG,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,Lotte Coffy Bite Classic,Lotte,Lotte Coffy Bite,8900000000000,190 Grams,60,,,https://m.media-amazon.com/images/I/713GlyS3xCL.jpg,,,Per 100g,436,80,,2,12,6,,,0,,,,,,,,,,,,,5,130,,58,,Green,VEG,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,Pascati Chocolate Mint Dark,Pascati,Pascati Chocolates,B082TRY3HP,0.18 Kilograms,560,,,https://m.media-amazon.com/images/I/61qSv+k9JbS.jpg,,,Per 100g,513.5135135,67.02702703,19.18918919,6.216216216,36.75675676,15.67567568,,,,,,,,,,,,,,,,0,0,,35.13513514,,Green,VEG,YES,NO,YES,,YES,NO,NO,NO,NO,NO,NO,NO
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,Candy Floss Sugar,Fluffy Tubs,,B08VRMY3B9,500gm,4800,3800,,https://images-na.ssl-images-amazon.com/images/I/514y7zldZ+L.jpg,"Organic Sugar, Permitted Natural Food Colors And Nature Identical Flavors",,Per 100g,299,99.77,0,0,0,0,,,,,,,,,,,,,,,,,,,99.4,,Green,VEG,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,Go Vegan Stone Candy,Go Vegan,,B094ZDGMQK,,250,,,https://m.media-amazon.com/images/I/61cQJMxS63L.jpg,,,Per 100g,463,79.3,2.1,2,15,13.8,,,0.1,,,,,,,,,,,,,,61,,75.1,,Green,VEG,,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Packaged Foods,Solid,Food,Snack Bars,Chocolate Bars,Amazon,Nepenthe Coffee and Chocolates Ditch the Guilt,Nepenthe Coffee and Chocolates,,B099DV2GFD,,,,,https://m.media-amazon.com/images/I/81Sf6NiuJjL.jpg,,,Per 100g,421.8,2.17,14.76,9.66,41.52,16.02,,,,,,,,,,,,,,,,,3,,0.1,,Green,VEG,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Packaged Foods,Solid,Food,Candies & Mints,Candies & Mints,Amazon,Hugs Double Fun,Hugs,,B09B3QBX54,650 Grams,300,,,https://m.media-amazon.com/images/I/516ZcpY4yKL.jpg,,,Per 100g,524,62,,6,28,6.44,,,,,,,,,,,,,,,,,,,53,,Green,VEG,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO
Packaged Foods,Solid,Food,Snack Bars,Chocolate Bars,Amazon,WACAO  Creamy Milk Chocolate Bars,WACAO,,df582545,,,,,https://m.media-amazon.com/images/I/81GbXeX8rrL.jpg,,,Per 100g,470,57,,6,30,16,,,,,,,,,,,,,,,,,0,,0,,Green,VEG,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
Packaged Foods,Solid,Food,Snack Foods,Biscuits & Cookies,Amazon,Hugs Day & Night - Choco Biscuit Balls,Hugs,,df5582050,400 Grams,250,,,https://m.media-amazon.com/images/I/411zWk8qg0L.jpg,,,Per 100g,510,68,,4,24,5.52,,,0.12,,,,,,,,,,,,,,,,48,,Green,VEG,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
Packaged Foods,Solid,Food,Powdered Drink Mixes,Powdered Drink Mixes,Amazon,Possible Instant Drink Mix,Possible,,B09HSKHHXF,300 Grams,600,342,,https://images-na.ssl-images-amazon.com/images/I/51LOus+ndOL.jpg,"?Roasted bengal gram powder, pea protein concentrate, dry ginger powder",,Per 100g,376,61.66666667,14.66666667,20.33333333,5.333333333,1,1.333333333,3,0,,,,,,,,,,,,,,2354.333333,,8,,Green,YES,NO,NO,,NO,NO,NO,NO,YES,YES,NO,NO,
